,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,X1stFlrSF,X2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,X3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,ExterQualOrigin,ExterCondOrigin,GarageQualOrigin,GarageCondOrigin,FireplaceQuOrigin,KitchenQualOrigin,HeatingQCOrigin,BsmtQualOrigin,BsmtExposureOrigin,BsmtFinType1Origin,BsmtFinType2Origin,FunctionalOrigin,GarageFinishOrigin,FenceOrigin,NewHouse,Season,TotalArea
13,20,RL,80.52328856,12968,Pave,None,IR2,Lvl,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1962,1962,Hip,CompShg,HdBoard,Plywood,None,0,3,3,CBlock,3,TA,1,5,737,1,0,175,912,GasA,3,Y,SBrkr,912,0,0,912,1,0,1,0,2,1,3,4,8,0,0,Detchd,1962,1,1,352,3,3,Y,140,0,0,0,176,0,None,0,None,0,9,2008,WD,Normal,144000,TA,TA,TA,TA,None,TA,TA,TA,No,ALQ,Unf,Typ,Unf,None,0,0,17364.52329
14,20,RL,91,10652,Pave,None,IR1,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,Stone,306,4,3,PConc,4,TA,3,1,0,1,0,1494,1494,GasA,5,Y,SBrkr,1494,0,0,1494,0,0,2,0,3,1,4,7,8,1,4,Attchd,2006,1,3,840,3,3,Y,160,33,0,0,0,0,None,0,None,0,8,2007,New,Partial,279500,Gd,TA,TA,TA,Gd,Gd,Ex,Gd,Av,Unf,Unf,Typ,RFn,None,0,0,18058
15,20,RL,73.89181281,10920,Pave,None,IR1,Lvl,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1960,1960,Hip,CompShg,MetalSd,MetalSd,BrkFace,212,3,3,CBlock,3,TA,1,4,733,1,0,520,1253,GasA,3,Y,SBrkr,1253,0,0,1253,1,0,1,1,2,1,3,5,8,1,2,Attchd,1960,1,1,352,3,3,Y,0,213,176,0,0,0,None,1,None,0,5,2008,WD,Normal,157000,TA,TA,TA,TA,Fa,TA,TA,TA,No,BLQ,Unf,Typ,RFn,GdWo,0,1,16958.89181
16,45,RM,51,6120,Pave,None,Reg,Lvl,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,7,8,1929,2001,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,3,3,BrkTil,3,TA,1,1,0,1,0,832,832,GasA,5,Y,FuseA,854,0,0,854,0,0,1,0,2,1,3,5,8,0,0,Detchd,1991,1,2,576,3,3,Y,48,112,0,0,0,0,None,4,None,0,7,2007,WD,Normal,132000,TA,TA,TA,TA,None,TA,Ex,TA,No,Unf,Unf,Typ,Unf,GdPrv,0,1,10279
17,20,RL,74.969994,11241,Pave,None,IR1,Lvl,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,7,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180,3,3,CBlock,3,TA,1,5,578,1,0,426,1004,GasA,5,Y,SBrkr,1004,0,0,1004,1,0,1,0,2,1,3,5,8,1,3,Attchd,1970,2,2,480,3,3,Y,0,0,0,0,0,0,None,0,Shed,700,3,2010,WD,Normal,149000,TA,TA,TA,TA,TA,TA,Ex,TA,No,ALQ,Unf,Typ,Fin,None,0,0,15991.96999
18,90,RL,72,10791,Pave,None,Reg,Lvl,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,4,5,1967,1967,Gable,CompShg,MetalSd,MetalSd,None,0,3,3,Slab,0,None,0,0,0,0,0,0,0,GasA,3,Y,SBrkr,1296,0,0,1296,0,0,2,0,2,2,3,6,8,0,0,CarPort,1967,1,2,516,3,3,Y,0,0,0,0,0,0,None,0,Shed,500,10,2006,WD,Normal,90000,TA,TA,TA,TA,None,TA,TA,None,None,None,None,Typ,Unf,None,0,0,13971
19,20,RL,66,13695,Pave,None,Reg,Lvl,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,5,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0,3,3,PConc,3,TA,1,6,646,1,0,468,1114,GasA,5,Y,SBrkr,1114,0,0,1114,1,0,1,1,3,1,4,6,8,0,0,Detchd,2004,1,2,576,3,3,Y,0,102,0,0,0,0,None,0,None,0,6,2008,WD,Normal,159000,TA,TA,TA,TA,None,Gd,Ex,TA,No,GLQ,Unf,Typ,Unf,None,0,1,18895
20,20,RL,70,7560,Pave,None,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1958,1965,Hip,CompShg,BrkFace,Plywood,None,0,3,3,CBlock,3,TA,1,2,504,1,0,525,1029,GasA,3,Y,SBrkr,1339,0,0,1339,0,0,1,0,3,1,3,6,7,0,0,Attchd,1958,1,1,294,3,3,Y,0,0,0,0,0,0,None,2,None,0,5,2009,COD,Abnorml,139000,TA,TA,TA,TA,None,TA,TA,TA,No,LwQ,Unf,Min1,Unf,MnPrv,0,1,12660
21,60,RL,101,14215,Pave,None,IR1,Lvl,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,380,4,3,PConc,5,TA,3,1,0,1,0,1158,1158,GasA,5,Y,SBrkr,1158,1218,0,2376,0,0,3,1,4,1,4,9,8,1,4,BuiltIn,2005,1,3,853,3,3,Y,240,154,0,0,0,0,None,0,None,0,11,2006,New,Partial,325300,Gd,TA,TA,TA,Gd,Gd,Ex,Ex,Av,Unf,Unf,Typ,RFn,None,0,0,23011
22,45,RM,57,7449,Pave,Grvl,Reg,Bnk,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,7,1930,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,3,3,PConc,3,TA,1,1,0,1,0,637,637,GasA,5,Y,FuseF,1108,0,0,1108,0,0,1,0,3,1,4,6,8,1,4,Attchd,1930,1,1,280,3,3,N,0,0,205,0,0,0,None,4,None,0,6,2007,WD,Normal,139400,TA,TA,TA,TA,Gd,Gd,Ex,TA,No,Unf,Unf,Typ,Unf,GdPrv,0,1,11481
23,20,RL,75,9742,Pave,None,Reg,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2002,2002,Hip,CompShg,VinylSd,VinylSd,BrkFace,281,4,3,PConc,4,TA,1,1,0,1,0,1777,1777,GasA,5,Y,SBrkr,1795,0,0,1795,0,0,2,0,3,1,4,7,8,1,4,Attchd,2002,1,2,534,3,3,Y,171,159,0,0,0,0,None,0,None,0,9,2008,WD,Normal,230000,Gd,TA,TA,TA,Gd,Gd,Ex,Gd,No,Unf,Unf,Typ,RFn,None,0,0,18106
24,120,RM,44,4224,Pave,None,Reg,Lvl,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,5,7,1976,1976,Gable,CompShg,CemntBd,CmentBd,None,0,3,3,PConc,4,TA,1,6,840,1,0,200,1040,GasA,3,Y,SBrkr,1060,0,0,1060,1,0,1,0,3,1,3,6,8,1,3,Attchd,1976,1,2,572,3,3,Y,100,110,0,0,0,0,None,0,None,0,6,2007,WD,Normal,129900,TA,TA,TA,TA,TA,TA,TA,Gd,No,GLQ,Unf,Typ,Unf,None,0,1,9250
25,20,RL,64.21059103,8246,Pave,None,IR1,Lvl,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,8,1968,2001,Gable,CompShg,Plywood,Plywood,None,0,3,4,CBlock,3,TA,2,3,188,5,668,204,1060,GasA,5,Y,SBrkr,1060,0,0,1060,1,0,1,0,3,1,4,6,8,1,3,Attchd,1968,1,1,270,3,3,Y,406,90,0,0,0,0,None,2,None,0,5,2010,WD,Normal,154000,TA,Gd,TA,TA,TA,Gd,Ex,TA,Mn,Rec,ALQ,Typ,Unf,MnPrv,0,1,13316.21059
26,20,RL,110,14230,Pave,None,Reg,Lvl,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,Stone,640,4,3,PConc,4,TA,1,1,0,1,0,1566,1566,GasA,5,Y,SBrkr,1600,0,0,1600,0,0,2,0,3,1,4,7,8,1,4,Attchd,2007,1,3,890,3,3,Y,0,56,0,0,0,0,None,0,None,0,7,2009,WD,Normal,256300,Gd,TA,TA,TA,Gd,Gd,Ex,Gd,No,Unf,Unf,Typ,RFn,None,0,1,22258
27,20,RL,60,7200,Pave,None,Reg,Lvl,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1951,2000,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,3,3,CBlock,3,TA,2,4,234,3,486,180,900,GasA,3,Y,SBrkr,900,0,0,900,0,1,1,0,3,1,4,5,8,0,0,Detchd,2005,1,2,576,3,3,Y,222,32,0,0,0,0,None,0,None,0,5,2010,WD,Normal,134800,TA,TA,TA,TA,None,Gd,TA,TA,Mn,BLQ,Rec,Typ,Unf,None,0,1,11690
28,20,RL,98,11478,Pave,None,Reg,Lvl,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,Stone,200,4,3,PConc,5,TA,1,6,1218,1,0,486,1704,GasA,5,Y,SBrkr,1704,0,0,1704,1,0,2,0,3,1,4,7,8,1,4,Attchd,2008,1,3,772,3,3,Y,0,50,0,0,0,0,None,0,None,0,5,2010,WD,Normal,306000,Gd,TA,TA,TA,Gd,Gd,Ex,Ex,No,GLQ,Unf,Typ,RFn,None,0,1,19414
29,20,RL,47,16321,Pave,None,IR1,Lvl,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1957,1997,Gable,CompShg,MetalSd,MetalSd,None,0,3,3,CBlock,3,TA,4,4,1277,1,0,207,1484,GasA,3,Y,SBrkr,1600,0,0,1600,1,0,1,0,2,1,3,6,8,2,4,Attchd,1957,1,1,319,3,3,Y,288,258,0,0,0,0,None,0,None,0,12,2006,WD,Normal,207500,TA,TA,TA,TA,Gd,TA,TA,TA,Gd,BLQ,Unf,Typ,RFn,None,0,0,23401
30,30,RM,60,6324,Pave,None,IR1,Lvl,Inside,Gtl,BrkSide,Feedr,RRNn,1Fam,1Story,4,6,1927,1950,Gable,CompShg,MetalSd,MetalSd,None,0,3,3,BrkTil,3,TA,1,1,0,1,0,520,520,GasA,2,N,SBrkr,520,0,0,520,0,0,1,0,1,1,2,4,8,0,0,Detchd,1920,1,1,240,2,3,Y,49,0,87,0,0,0,None,0,None,0,5,2008,WD,Normal,68500,TA,TA,Fa,TA,None,Fa,Fa,TA,No,Unf,Unf,Typ,Unf,None,0,1,8840
31,70,C (all),50,8500,Pave,Pave,Reg,Lvl,Inside,Gtl,IDOTRR,Feedr,Norm,1Fam,2Story,4,4,1920,1950,Gambrel,CompShg,BrkFace,BrkFace,None,0,3,2,BrkTil,3,TA,1,1,0,1,0,649,649,GasA,3,N,SBrkr,649,668,0,1317,0,0,1,0,3,1,3,6,8,0,0,Detchd,1920,1,1,250,3,2,N,0,54,172,0,0,0,None,2,None,0,7,2008,WD,Normal,40000,TA,Fa,TA,Fa,None,TA,TA,TA,No,Unf,Unf,Typ,Unf,MnPrv,0,1,12958
32,20,RL,65.36053855,8544,Pave,None,IR1,Lvl,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1966,2006,Gable,CompShg,HdBoard,HdBoard,None,0,3,3,CBlock,3,TA,1,1,0,1,0,1228,1228,GasA,4,Y,SBrkr,1228,0,0,1228,0,0,1,1,3,1,4,6,8,0,0,Attchd,1966,1,1,271,3,3,Y,0,65,0,0,0,0,None,2,None,0,6,2008,WD,Normal,149350,TA,TA,TA,TA,None,Gd,Gd,TA,No,Unf,Unf,Typ,Unf,MnPrv,0,1,13857.36054
33,20,RL,85,11049,Pave,None,Reg,Lvl,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0,4,3,PConc,5,TA,3,1,0,1,0,1234,1234,GasA,5,Y,SBrkr,1234,0,0,1234,0,0,2,0,3,1,4,7,8,0,0,Attchd,2007,1,2,484,3,3,Y,0,30,0,0,0,0,None,0,None,0,1,2008,WD,Normal,179900,Gd,TA,TA,TA,None,Gd,Ex,Ex,Av,Unf,Unf,Typ,RFn,None,0,0,16584
34,20,RL,70,10552,Pave,None,IR1,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,CompShg,BrkFace,BrkFace,None,0,3,3,CBlock,3,TA,1,3,1018,1,0,380,1398,GasA,4,Y,SBrkr,1700,0,0,1700,0,1,1,1,4,1,4,6,8,1,4,Attchd,1959,1,2,447,3,3,Y,0,38,0,0,0,0,None,0,None,0,4,2010,WD,Normal,165500,TA,TA,TA,TA,Gd,Gd,Gd,TA,No,Rec,Unf,Typ,RFn,None,0,0,17303
35,120,RL,60,7313,Pave,None,Reg,Lvl,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,246,5,3,PConc,5,TA,1,6,1153,1,0,408,1561,GasA,5,Y,SBrkr,1561,0,0,1561,1,0,2,0,2,1,5,6,8,1,4,Attchd,2005,2,2,556,3,3,Y,203,47,0,0,0,0,None,0,None,0,8,2007,WD,Normal,277500,Ex,TA,TA,TA,Gd,Ex,Ex,Ex,No,GLQ,Unf,Typ,Fin,None,0,0,14669
36,60,RL,108,13418,Pave,None,Reg,Lvl,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,132,4,3,PConc,5,TA,3,1,0,1,0,1117,1117,GasA,5,Y,SBrkr,1132,1320,0,2452,0,0,3,1,4,1,4,9,8,1,4,BuiltIn,2004,2,3,691,3,3,Y,113,32,0,0,0,0,None,0,None,0,9,2006,WD,Normal,309000,Gd,TA,TA,TA,Gd,Gd,Ex,Ex,Av,Unf,Unf,Typ,Fin,None,0,0,21632
37,20,RL,112,10859,Pave,None,Reg,Lvl,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,5,1994,1995,Gable,CompShg,VinylSd,VinylSd,None,0,3,3,PConc,4,TA,1,1,0,1,0,1097,1097,GasA,5,Y,SBrkr,1097,0,0,1097,0,0,1,1,3,1,3,6,8,0,0,Attchd,1995,1,2,672,3,3,Y,392,64,0,0,0,0,None,0,None,0,6,2009,WD,Normal,145000,TA,TA,TA,TA,None,TA,Ex,Gd,No,Unf,Unf,Typ,Unf,None,0,1,16487
38,20,RL,74,8532,Pave,None,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1954,1990,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,650,3,3,CBlock,3,TA,1,3,1213,1,0,84,1297,GasA,4,Y,SBrkr,1297,0,0,1297,0,1,1,0,3,1,3,5,8,1,3,Attchd,1954,2,2,498,3,3,Y,0,0,0,0,0,0,None,0,None,0,10,2009,WD,Normal,153000,TA,TA,TA,TA,TA,TA,Gd,TA,No,Rec,Unf,Typ,Fin,None,0,0,14942
39,20,RL,68,7922,Pave,None,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1953,2007,Gable,CompShg,VinylSd,VinylSd,None,0,3,4,CBlock,3,TA,1,6,731,1,0,326,1057,GasA,3,Y,SBrkr,1057,0,0,1057,1,0,1,0,3,1,4,5,8,0,0,Detchd,1953,1,1,246,3,3,Y,0,52,0,0,0,0,None,0,None,0,1,2010,WD,Abnorml,109000,TA,Gd,TA,TA,None,Gd,TA,TA,No,GLQ,Unf,Typ,Unf,None,0,0,12516
40,90,RL,65,6040,Pave,None,Reg,Lvl,Inside,Gtl,Edwards,Norm,Norm,Duplex,1Story,4,5,1955,1955,Gable,CompShg,AsbShng,Plywood,None,0,3,3,PConc,0,None,0,0,0,0,0,0,0,GasA,3,N,FuseP,1152,0,0,1152,0,0,2,0,2,2,2,6,8,0,0,None,1955,0,0,0,0,0,N,0,0,0,0,0,0,None,0,None,0,6,2008,WD,AdjLand,82000,TA,TA,None,None,None,Fa,TA,None,None,None,None,Typ,None,None,0,1,8409
41,20,RL,84,8658,Pave,None,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1965,1965,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,101,3,3,CBlock,3,TA,1,3,643,1,0,445,1088,GasA,5,Y,SBrkr,1324,0,0,1324,0,0,2,0,3,1,3,6,8,1,3,Attchd,1965,1,2,440,3,3,Y,0,138,0,0,0,0,None,1,None,0,12,2006,WD,Abnorml,160000,TA,TA,TA,TA,TA,TA,Ex,TA,No,Rec,Unf,Typ,RFn,GdWo,0,0,14245
42,20,RL,115,16905,Pave,None,Reg,Lvl,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,5,6,1959,1959,Gable,CompShg,VinylSd,VinylSd,None,0,3,4,CBlock,3,TA,4,4,967,1,0,383,1350,GasA,4,Y,SBrkr,1328,0,0,1328,0,1,1,1,2,1,3,5,8,2,4,Attchd,1959,1,1,308,3,3,P,0,104,0,0,0,0,None,0,None,0,7,2007,WD,Normal,170000,TA,Gd,TA,TA,Gd,TA,Gd,TA,Gd,BLQ,Unf,Typ,RFn,None,0,1,22788
43,85,RL,67.74953874,9180,Pave,None,IR1,Lvl,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,SFoyer,5,7,1983,1983,Gable,CompShg,HdBoard,HdBoard,None,0,3,3,CBlock,4,TA,3,5,747,2,93,0,840,GasA,4,Y,SBrkr,884,0,0,884,1,0,1,0,2,1,4,5,8,0,0,Attchd,1983,1,2,504,3,4,Y,240,0,0,0,0,0,None,2,None,0,12,2007,WD,Normal,144000,TA,TA,TA,Gd,None,Gd,Gd,Gd,Av,ALQ,LwQ,Typ,RFn,MnPrv,0,0,13439.74954
44,20,RL,67.82329983,9200,Pave,None,IR1,Lvl,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,6,1975,1980,Hip,CompShg,VinylSd,VinylSd,None,0,3,3,CBlock,4,TA,3,2,280,4,491,167,938,GasA,3,Y,SBrkr,938,0,0,938,1,0,1,0,3,1,3,5,8,0,0,Detchd,1977,1,1,308,3,3,Y,145,0,0,0,0,0,None,2,None,0,7,2008,WD,Normal,130250,TA,TA,TA,TA,None,TA,TA,Gd,Av,LwQ,BLQ,Typ,Unf,MnPrv,0,1,13472.8233
